Parasite,Host
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Sturnidae:Aplonis panayensis
Ornithophila metallica,Corvidae:Corvus splendens
Ornithophila metallica,Coraciidae:Eurystomus orientalis
Ornithophila metallica,Estrildidae:Lonchura maja
Ornithophila metallica,Oriolidae:Oriolus chinensis
Ornithophila metallica,Oriolidae:Oriolus chinensis
Ornithophila metallica,Pittidae:Pitta moluccensis
Ornithophila metallica,Pittidae:Pitta moluccensis
Pseudolynchia canariensis,Rallidae:Amaurornis phoenicurus
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Columbidae:Columba livia
Pseudolynchia canariensis,Ardeidae:Egretta garzetta
Pseudolynchia canariensis,Cuculidae:Eudynamys scolopaceus
Pseudolynchia canariensis,Falconidae:Falco peregrinus
Pseudolynchia canariensis,Strigidae:Ninox japonica
Pseudolynchia canariensis,Columbidae:Treron vernans
Pseudolynchia canariensis,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Spilopelia chinensis
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans
Pseudolynchia maai,Columbidae:Treron vernans